serial_no,event_id,event_name,event_type,event_theme,event_description,start_datetime,end_datetime,timezone,delivery_mode,location_venue,location_city,location_state,location_country,organizer_unit,organizer_contact_email,capacity,rsvp_required,registrations_count,attendees_count,feedback_score_avg
652,76f3b7e2-5947-40f9-95dc-d5d7218ec7b6,Panel 0652 • Product & Project Management,Panel,Product & Project Management,Join us for a panel on Product & Project Management.,11/28/2026 10:00,11/28/2026 12:00,America/New_York,In-person,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,175,1,94,79,4.01
653,0c967e1e-1cc2-4b67-9910-030b5e22218d,Meetup 0653 • Consulting Case Prep,Meetup,Consulting Case Prep,Join us for a meetup on Consulting Case Prep.,08/21/2020 18:00,08/21/2020 20:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,128,1,126,98,3.77
654,c753d9b4-729c-4bed-8ef5-3ab4c9d2b715,Networking Night 0654 • Resume & Interview Mastery,Networking Night,Resume & Interview Mastery,Join us for a networking night on Resume & Interview Mastery.,05/04/2020 10:00,05/04/2020 16:00,America/New_York,Virtual,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,387,0,346,262,4.36
655,0c21d394-e442-46ba-9586-23cef18df6dd,Career Fair 0655 • Consulting Case Prep,Career Fair,Consulting Case Prep,Join us for a career fair on Consulting Case Prep.,06/16/2021 10:00,06/16/2021 12:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,1386,0,1307,1214,3.65
656,df593374-ab9e-4fe8-affb-ec3cf81bd8af,Career Fair 0656 • Networking with Employers,Career Fair,Networking with Employers,Join us for a career fair on Networking with Employers.,09/08/2026 10:00,09/08/2026 16:00,America/Chicago,In-person,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,1080,1,730,613,4.77
657,ba35cc88-c3ab-4a94-8df8-870b6d964cd1,Webinar 0657 • Resume & Interview Mastery,Webinar,Resume & Interview Mastery,Join us for a webinar on Resume & Interview Mastery.,12/16/2021 14:00,12/16/2021 22:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,778,1,492,468,4.87
658,e5ce28e6-43bb-4129-aeca-e45a91223dbc,Workshop 0658 • Cloud & DevOps Pathways,Workshop,Cloud & DevOps Pathways,Join us for a workshop on Cloud & DevOps Pathways.,04/09/2023 14:00,04/09/2023 16:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,182,1,133,124,4.93
659,1c74559a-6c35-4bf8-a8c0-079544bf63b8,Panel 0659 • Entrepreneurship,Panel,Entrepreneurship,Join us for a panel on Entrepreneurship.,09/17/2023 14:00,09/17/2023 15:00,America/New_York,Virtual,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,135,1,41,25,4.92
660,5e9798ad-ec17-4787-8ddd-3d0a586ef1ba,Meetup 0660 • AI & Data Analytics Careers,Meetup,AI & Data Analytics Careers,Join us for a meetup on AI & Data Analytics Careers.,11/18/2024 10:00,11/18/2024 18:00,America/New_York,Virtual,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,189,0,159,119,4.57
661,6bd664e7-badd-43a8-a8ca-9214a2457340,Panel 0661 • Networking with Employers,Panel,Networking with Employers,Join us for a panel on Networking with Employers.,09/05/2023 18:00,09/05/2023 19:00,America/Chicago,Hybrid,Career Services Hall,Chicago,IL,USA,Chaifetz School of Business,chaifetz-events@slu.edu,80,1,52,43,4.14
662,d830188f-ac58-48ce-b6e0-7a4c71d354b4,Career Fair 0662 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,03/18/2020 14:00,03/18/2020 16:00,America/Chicago,In-person,Busch Student Center,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,1401,1,639,581,4.14
663,403688ef-d02e-4516-9500-9e814921d22b,Workshop 0663 • Cloud & DevOps Pathways,Workshop,Cloud & DevOps Pathways,Join us for a workshop on Cloud & DevOps Pathways.,04/03/2026 18:00,04/03/2026 20:00,America/Chicago,In-person,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,162,1,106,90,4.97
664,a058666e-e3c2-43b1-80b3-482e85f35878,Webinar 0664 • Entrepreneurship,Webinar,Entrepreneurship,Join us for a webinar on Entrepreneurship.,03/26/2023 14:00,03/26/2023 16:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,School of Science & Engineering,sse-events@slu.edu,790,1,577,348,3.86
665,11f0276d-1a52-444d-8a9e-e0fe6b1e792f,Panel 0665 • Product & Project Management,Panel,Product & Project Management,Join us for a panel on Product & Project Management.,03/12/2023 14:00,03/12/2023 17:00,America/Los_Angeles,Hybrid,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,147,1,103,97,3.57
666,2061d383-73c1-4df8-8d91-2c43bcc0467a,Guest Lecture 0666 • Consulting Case Prep,Guest Lecture,Consulting Case Prep,Join us for a guest lecture on Consulting Case Prep.,03/28/2020 10:00,03/28/2020 14:00,America/Los_Angeles,Hybrid,Data Science Hub,Seattle,WA,USA,Alumni Office,alumni@slu.edu,108,1,47,38,4.26
667,2ae39f95-eb5d-449b-ac03-37c2b6269902,Hackathon 0667 • Graduate School Pathways,Hackathon,Graduate School Pathways,Join us for a hackathon on Graduate School Pathways.,02/05/2021 14:00,02/05/2021 22:00,America/New_York,Virtual,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,315,1,160,147,4.85
668,17e53196-bd26-4cb7-ace1-91921db02e92,Meetup 0668 • Cybersecurity Trends,Meetup,Cybersecurity Trends,Join us for a meetup on Cybersecurity Trends.,10/11/2022 18:00,10/11/2022 20:00,America/New_York,Hybrid,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,82,1,33,32,3.87
669,ae0f6530-d8a7-44ee-a314-ee6f7a2015e9,Webinar 0669 • Entrepreneurship,Webinar,Entrepreneurship,Join us for a webinar on Entrepreneurship.,08/08/2021 18:00,08/08/2021 21:00,America/New_York,In-person,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,479,1,244,239,4.24
670,d6718463-6809-4d37-8015-f36d4c500a33,Career Fair 0670 • Entrepreneurship,Career Fair,Entrepreneurship,Join us for a career fair on Entrepreneurship.,08/12/2021 14:00,08/12/2021 22:00,America/Los_Angeles,Virtual,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,837,0,405,306,4.71
671,e5bd73a9-88e4-4143-b56b-280216915b47,Networking Night 0671 • Entrepreneurship,Networking Night,Entrepreneurship,Join us for a networking night on Entrepreneurship.,06/24/2020 14:00,06/24/2020 18:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,344,0,110,67,3.55
672,58d78120-0695-4338-80e4-b6836b221453,Hackathon 0672 • Consulting Case Prep,Hackathon,Consulting Case Prep,Join us for a hackathon on Consulting Case Prep.,07/15/2026 18:00,07/15/2026 20:00,America/Los_Angeles,Hybrid,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,353,1,231,145,3.59
673,dc18dfb6-605c-48b6-87a5-7c2b2337aa32,Panel 0673 • Consulting Case Prep,Panel,Consulting Case Prep,Join us for a panel on Consulting Case Prep.,07/28/2026 18:00,07/28/2026 21:00,America/Chicago,Hybrid,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,219,1,149,92,4.9
674,812e6513-6c53-4e95-9881-9f290c30ccd1,Workshop 0674 • Cloud & DevOps Pathways,Workshop,Cloud & DevOps Pathways,Join us for a workshop on Cloud & DevOps Pathways.,10/19/2021 10:00,10/19/2021 14:00,America/Chicago,Virtual,Alumni Center,Boston,MA,USA,Career Services,careerservices@slu.edu,104,1,61,55,4.28
675,eb72a5fb-d0c6-4b7b-851b-c1e738e9399d,Guest Lecture 0675 • Cybersecurity Trends,Guest Lecture,Cybersecurity Trends,Join us for a guest lecture on Cybersecurity Trends.,03/25/2022 14:00,03/25/2022 16:00,America/New_York,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,135,1,131,118,4.57
676,e50f1e61-adfc-4299-90b4-353752d0ecd5,Meetup 0676 • Tech for Good,Meetup,Tech for Good,Join us for a meetup on Tech for Good.,08/21/2026 14:00,08/21/2026 18:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,227,1,190,148,4.41
677,cbaed952-59ca-4bde-92b4-dd6b98ff2205,Career Fair 0677 • Networking with Employers,Career Fair,Networking with Employers,Join us for a career fair on Networking with Employers.,11/28/2022 10:00,11/28/2022 16:00,America/Chicago,Virtual,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,1297,1,1082,698,3.84
678,3ebc6b75-6064-4f89-a72f-051881a862d3,Guest Lecture 0678 • Product & Project Management,Guest Lecture,Product & Project Management,Join us for a guest lecture on Product & Project Management.,05/08/2023 14:00,05/08/2023 17:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,215,1,147,94,4.62
679,253b50dc-0fdc-45d9-b2b5-df05b30ab597,Webinar 0679 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for a webinar on Consulting Case Prep.,05/27/2025 14:00,05/27/2025 17:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,699,1,218,149,3.67
680,5297d484-3b5c-4d3a-bbff-1ab08e8704a9,Meetup 0680 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for a meetup on Cloud & DevOps Pathways.,04/26/2025 14:00,04/26/2025 22:00,America/New_York,Hybrid,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,199,1,64,45,4.93
681,50bf8aa9-13f4-449f-99f4-f03c5943b229,Networking Night 0681 • Consulting Case Prep,Networking Night,Consulting Case Prep,Join us for a networking night on Consulting Case Prep.,01/06/2023 10:00,01/06/2023 13:00,America/New_York,In-person,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,222,1,143,126,3.84
682,317621e1-21bc-43db-ac32-9820cd899b54,Webinar 0682 • Entrepreneurship,Webinar,Entrepreneurship,Join us for a webinar on Entrepreneurship.,07/30/2022 10:00,07/30/2022 16:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,259,1,139,89,4.89
683,ea2db646-c2da-4724-98e1-f5116abb04fe,Career Fair 0683 • Tech for Good,Career Fair,Tech for Good,Join us for a career fair on Tech for Good.,07/30/2023 14:00,07/30/2023 20:00,America/Los_Angeles,In-person,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,1079,0,492,362,4.31
684,b2186e44-3e66-4ba2-a23e-5b5d715f6320,Career Fair 0684 • AI & Data Analytics Careers,Career Fair,AI & Data Analytics Careers,Join us for a career fair on AI & Data Analytics Careers.,03/16/2022 18:00,03/16/2022 22:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,931,0,855,844,4.83
685,6093a9b9-9a30-421b-911d-039981863176,Guest Lecture 0685 • Entrepreneurship,Guest Lecture,Entrepreneurship,Join us for a guest lecture on Entrepreneurship.,04/17/2021 18:00,04/17/2021 22:00,America/Chicago,Virtual,Alumni Center,Boston,MA,USA,Career Services,careerservices@slu.edu,131,1,60,48,4.65
686,d2d5d9bd-37a9-4093-be76-7bc09a610eda,Networking Night 0686 • Product & Project Management,Networking Night,Product & Project Management,Join us for a networking night on Product & Project Management.,11/07/2023 18:00,11/07/2023 20:00,America/New_York,Hybrid,Alumni Center,Boston,MA,USA,Career Services,careerservices@slu.edu,338,1,181,167,3.76
687,18ca9e85-94bc-4b77-b2da-e412bee17fd8,Guest Lecture 0687 • Graduate School Pathways,Guest Lecture,Graduate School Pathways,Join us for a guest lecture on Graduate School Pathways.,05/13/2026 10:00,05/13/2026 14:00,America/Los_Angeles,Virtual,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,282,1,275,246,4.29
688,4d620463-e523-43a7-83ec-6faba7769987,Hackathon 0688 • Cloud & DevOps Pathways,Hackathon,Cloud & DevOps Pathways,Join us for a hackathon on Cloud & DevOps Pathways.,03/27/2020 10:00,03/27/2020 13:00,America/Los_Angeles,In-person,Global Webinar Room,Online,NA,USA,Career Services,careerservices@slu.edu,176,1,56,51,3.79
689,dd3c6eb2-4482-4308-baa8-293f35c23584,Panel 0689 • Networking with Employers,Panel,Networking with Employers,Join us for a panel on Networking with Employers.,04/17/2021 14:00,04/17/2021 15:00,America/Los_Angeles,Hybrid,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,230,1,98,89,3.98
690,a9962fb4-0d17-43d6-a9d8-c9453bb6c981,Guest Lecture 0690 • Cybersecurity Trends,Guest Lecture,Cybersecurity Trends,Join us for a guest lecture on Cybersecurity Trends.,12/16/2023 18:00,12/16/2023 21:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,113,1,88,66,3.71
691,5998c1e0-a7f0-485d-99a4-2b9caad33dc9,Guest Lecture 0691 • AI & Data Analytics Careers,Guest Lecture,AI & Data Analytics Careers,Join us for a guest lecture on AI & Data Analytics Careers.,08/31/2024 14:00,08/31/2024 18:00,America/Los_Angeles,In-person,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,286,1,283,263,4.21
692,2dc53616-af4f-4a26-a3fc-12fe9aa13a76,Panel 0692 • Graduate School Pathways,Panel,Graduate School Pathways,Join us for a panel on Graduate School Pathways.,08/31/2024 10:00,08/31/2024 11:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,232,1,187,131,3.51
693,60673f48-4502-4c13-8c1a-37cfd3d0fbd2,Webinar 0693 • Product & Project Management,Webinar,Product & Project Management,Join us for a webinar on Product & Project Management.,03/10/2024 10:00,03/10/2024 16:00,America/New_York,Virtual,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,567,1,479,319,4.33
694,cc9a6a2f-4edb-4363-8081-2bc468956e75,Webinar 0694 • Tech for Good,Webinar,Tech for Good,Join us for a webinar on Tech for Good.,07/21/2023 14:00,07/21/2023 18:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,521,1,327,276,4.72
695,e6345cc2-2822-47b8-a79e-61f360fb0a28,Hackathon 0695 • Entrepreneurship,Hackathon,Entrepreneurship,Join us for a hackathon on Entrepreneurship.,04/25/2026 14:00,04/25/2026 16:00,America/Chicago,In-person,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,113,1,76,73,3.94
696,578df0ac-daa1-490c-824f-9264c787ded5,Hackathon 0696 • Cloud & DevOps Pathways,Hackathon,Cloud & DevOps Pathways,Join us for a hackathon on Cloud & DevOps Pathways.,07/31/2022 10:00,07/31/2022 11:00,America/Chicago,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,293,1,135,111,4.77
697,8e3e9418-2204-4640-a23f-6a372abf53f4,Panel 0697 • Cybersecurity Trends,Panel,Cybersecurity Trends,Join us for a panel on Cybersecurity Trends.,05/09/2025 18:00,05/09/2025 22:00,America/Chicago,In-person,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,198,1,75,61,4.74
698,d74ca2dc-2f75-4b3a-8f84-b44d9818ce29,Hackathon 0698 • Cloud & DevOps Pathways,Hackathon,Cloud & DevOps Pathways,Join us for a hackathon on Cloud & DevOps Pathways.,03/29/2026 10:00,03/29/2026 11:00,America/Los_Angeles,Virtual,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,262,1,79,75,4.34
699,c8cfa9aa-9021-4f60-a7ec-c895e28f9f72,Networking Night 0699 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,10/23/2026 18:00,10/23/2026 22:00,America/New_York,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,190,1,130,100,4.63
700,b19d42b6-3bec-40ce-9562-b565910e1e15,Meetup 0700 • Resume & Interview Mastery,Meetup,Resume & Interview Mastery,Join us for a meetup on Resume & Interview Mastery.,10/07/2020 10:00,10/07/2020 14:00,America/New_York,Hybrid,Tech Innovation Lab,Austin,TX,USA,Data Science Institute,dsi@slu.edu,70,0,63,60,4.98
701,010edcb0-c634-411d-94b5-3e5a4367a92d,Guest Lecture 0701 • Tech for Good,Guest Lecture,Tech for Good,Join us for a guest lecture on Tech for Good.,03/19/2023 10:00,03/19/2023 14:00,America/Chicago,Hybrid,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,226,1,155,147,4.64
702,386d695c-acd8-4d56-b0dd-827f83a2e856,Career Fair 0702 • Consulting Case Prep,Career Fair,Consulting Case Prep,Join us for a career fair on Consulting Case Prep.,06/09/2026 18:00,06/10/2026 00:00,America/Los_Angeles,In-person,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,1030,0,456,420,4.3
703,47b7ec57-0320-45b0-b4c9-48cc1b0c9f35,Career Fair 0703 • Product & Project Management,Career Fair,Product & Project Management,Join us for a career fair on Product & Project Management.,07/28/2021 14:00,07/28/2021 17:00,America/Chicago,Hybrid,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,752,1,290,271,3.88
704,d4431594-715d-4702-80d1-cdf2952b92a2,Panel 0704 • Consulting Case Prep,Panel,Consulting Case Prep,Join us for a panel on Consulting Case Prep.,11/19/2021 14:00,11/19/2021 22:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,Career Services,careerservices@slu.edu,126,1,48,43,4.4
705,29db1731-ebd5-4644-9f5d-a0dc86798a30,Panel 0705 • Tech for Good,Panel,Tech for Good,Join us for a panel on Tech for Good.,06/12/2020 18:00,06/13/2020 02:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,139,1,76,62,3.71
706,99690491-9416-4ead-aee6-f3dfcfd3a278,Workshop 0706 • Entrepreneurship,Workshop,Entrepreneurship,Join us for a workshop on Entrepreneurship.,01/02/2025 18:00,01/03/2025 02:00,America/Los_Angeles,In-person,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,153,1,151,129,4.13
707,c1ee0f75-47ad-4735-b3ad-bd6577cfc3f4,Career Fair 0707 • Tech for Good,Career Fair,Tech for Good,Join us for a career fair on Tech for Good.,05/31/2025 10:00,05/31/2025 14:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,1415,1,511,365,4.83
708,51365da7-3890-43c9-a445-7cc604bbffa8,Hackathon 0708 • Cloud & DevOps Pathways,Hackathon,Cloud & DevOps Pathways,Join us for a hackathon on Cloud & DevOps Pathways.,03/02/2021 14:00,03/02/2021 20:00,America/Chicago,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Career Services,careerservices@slu.edu,381,1,212,202,3.65
709,68e34b59-cf79-47ba-938b-816aea02590b,Networking Night 0709 • AI & Data Analytics Careers,Networking Night,AI & Data Analytics Careers,Join us for a networking night on AI & Data Analytics Careers.,12/28/2026 14:00,12/28/2026 15:00,America/Chicago,Virtual,Alumni Center,Boston,MA,USA,School of Science & Engineering,sse-events@slu.edu,301,0,100,100,3.59
710,6a974180-ea90-4d19-a793-e2948b1fe636,Guest Lecture 0710 • Cybersecurity Trends,Guest Lecture,Cybersecurity Trends,Join us for a guest lecture on Cybersecurity Trends.,10/02/2024 18:00,10/03/2024 00:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,Career Services,careerservices@slu.edu,144,1,73,43,4.97
711,b714f7db-6e02-4309-a9cc-aa9ba3b253d4,Workshop 0711 • Tech for Good,Workshop,Tech for Good,Join us for a workshop on Tech for Good.,09/07/2026 18:00,09/08/2026 02:00,America/Chicago,In-person,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,52,1,26,21,4.86
712,061406d7-879b-4013-b509-4cc2cdbb7786,Guest Lecture 0712 • AI & Data Analytics Careers,Guest Lecture,AI & Data Analytics Careers,Join us for a guest lecture on AI & Data Analytics Careers.,07/26/2024 18:00,07/27/2024 02:00,America/New_York,Hybrid,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,171,1,132,97,3.98
